Fecha,TRM,TRM_MA_30,TRM_MA_90
1992-08-05,698.84,706.4153333333333,683.8685555555556
1992-08-06,695.32,706.3886666666666,684.301
1992-08-07,694.25,706.342,684.7047777777777
1992-08-08,694.25,706.1833333333333,685.1085555555557
1992-08-09,694.25,705.867,685.5123333333333
1992-08-10,694.25,705.3846666666667,685.9093333333334
1992-08-11,692.72,704.8513333333334,686.2665555555556
1992-08-12,692.25,704.3023333333333,686.6151111111111
1992-08-13,694.28,703.4293333333333,686.957888888889
1992-08-14,692.51,702.5413333333333,687.2793333333333
1992-08-15,693.25,701.7346666666667,687.6089999999999
1992-08-16,693.25,700.9196666666667,687.9386666666667
1992-08-17,693.25,700.191,688.2664444444443
1992-08-18,693.25,699.4623333333334,688.5858888888888
1992-08-19,693.69,698.7483333333333,688.9257777777777
1992-08-20,692.48,697.994,689.2577777777778
1992-08-21,692.56,697.3823333333333,689.5961111111111
1992-08-22,693.94,696.9150000000001,689.9497777777779
1992-08-23,693.94,696.7220000000001,690.3034444444444
1992-08-24,693.94,696.5306666666668,690.6566666666666
1992-08-25,689.56,696.1933333333334,690.98
1992-08-26,689.21,695.8443333333333,691.3027777777778
1992-08-27,689.45,695.4373333333334,691.619
1992-08-28,690.3,695.051,691.9071111111111
1992-08-29,691.68,694.7063333333334,692.2105555555555
1992-08-30,691.68,694.2576666666668,692.5139999999999
1992-08-31,691.68,693.8963333333334,692.8174444444444
1992-09-01,691.9,693.5423333333333,693.104
1992-09-02,692.89,693.2213333333333,693.4216666666666
1992-09-03,693.02,692.928,693.7166666666667
1992-09-04,695.62,692.8206666666666,694.0640000000001
1992-09-05,696.77,692.869,694.4241111111112
1992-09-06,696.77,692.953,694.7842222222223
1992-09-07,696.77,693.037,695.1271111111112
1992-09-08,697.69,693.1516666666666,695.4801111111111
1992-09-09,698.28,693.2860000000001,695.817
1992-09-10,695.38,693.3746666666666,696.1265555555556
1992-09-11,695.54,693.4843333333333,696.4153333333334
1992-09-12,696.39,693.5546666666667,696.7135555555556
1992-09-13,696.39,693.6839999999999,697.0117777777779
1992-09-14,696.39,693.7886666666667,697.289888888889
1992-09-15,696.29,693.8899999999999,697.518
1992-09-16,696.84,694.0096666666666,697.7032222222223
1992-09-17,695.7,694.0913333333333,697.8971111111111
1992-09-18,696.66,694.1903333333333,698.0447777777778
1992-09-19,696.42,694.3216666666667,698.1897777777777
1992-09-20,696.42,694.4503333333333,698.3347777777778
1992-09-21,696.42,694.533,698.4797777777778
1992-09-22,699.16,694.707,698.5806666666666
1992-09-23,697.77,694.8346666666667,698.566
1992-09-24,698.4,695.1293333333332,698.5278888888889
1992-09-25,697.01,695.3893333333333,698.5216666666666
1992-09-26,704.8,695.901,698.602
1992-09-27,704.8,696.3843333333333,698.6823333333333
1992-09-28,704.8,696.8216666666666,698.7626666666666
1992-09-29,701.0,697.1323333333332,698.8253333333333
1992-09-30,702.81,697.5033333333334,698.9184444444444
1992-10-01,699.7,697.7633333333334,698.985
1992-10-02,703.08,698.103,699.0925555555556
1992-10-03,710.22,698.6763333333333,699.2794444444444
1992-10-04,710.22,699.163,699.4663333333333
1992-10-05,710.22,699.6113333333334,699.623
1992-10-06,704.52,699.8696666666667,699.7215555555556
1992-10-07,703.66,700.0993333333333,699.7732222222222
1992-10-08,702.71,700.2666666666667,699.7617777777778
1992-10-09,704.06,700.4593333333333,699.7099999999999
1992-10-10,701.88,700.676,699.634
1992-10-11,701.88,700.8873333333333,699.558
1992-10-12,701.88,701.0703333333333,699.3514444444445
1992-10-13,701.88,701.2533333333334,699.1595555555556
1992-10-14,702.48,701.4563333333333,698.9932222222222
1992-10-15,705.52,701.764,698.8578888888889
1992-10-16,708.21,702.143,698.7812222222221
1992-10-17,707.13,702.524,698.6925555555555
1992-10-18,707.13,702.873,698.6038888888888
1992-10-19,707.13,703.2299999999999,698.5152222222222
1992-10-20,707.35,703.5943333333333,698.4756666666666
1992-10-21,706.06,703.9156666666665,698.4545555555555
1992-10-22,709.22,704.251,698.56
1992-10-23,710.19,704.6649999999998,698.6767777777777
1992-10-24,712.04,705.1196666666667,698.8141111111111
1992-10-25,712.04,705.6206666666666,698.9514444444444
1992-10-26,712.04,705.862,699.0667777777778
1992-10-27,713.55,706.1536666666667,699.1963333333333
1992-10-28,716.39,706.5400000000001,699.3559999999999
1992-10-29,715.31,707.017,699.4689999999999
1992-10-30,717.37,707.5023333333334,699.634
1992-10-31,716.88,708.075,699.7935555555555
1992-11-01,716.88,708.535,699.9531111111111
1992-11-02,716.88,708.757,700.1204444444444
1992-11-03,716.88,708.979,700.3208888888888
1992-11-04,718.98,709.2710000000001,700.5837777777778
1992-11-05,719.21,709.7606666666667,700.8611111111111
1992-11-06,720.96,710.3373333333333,701.1578888888889
1992-11-07,722.57,710.9993333333333,701.4725555555556
1992-11-08,722.57,711.6163333333333,701.7872222222222
1992-11-09,722.57,712.306,702.1188888888889
1992-11-10,720.48,712.926,702.4325555555556
1992-11-11,722.37,713.609,702.7446666666666
1992-11-12,723.72,714.337,703.0914444444445
1992-11-13,722.72,715.0116666666667,703.4188888888889
1992-11-14,724.07,715.6299999999999,703.7613333333334
1992-11-15,724.07,716.1586666666667,704.1037777777779
1992-11-16,724.07,716.7233333333334,704.4462222222222
1992-11-17,724.07,717.288,704.7837777777778
1992-11-18,730.11,718.0540000000001,705.2018888888889
1992-11-19,724.97,718.6413333333333,705.562
1992-11-20,724.9,719.2693333333334,705.906
1992-11-21,721.98,719.6946666666666,706.2175555555556
1992-11-22,721.98,720.0876666666667,706.5291111111111
1992-11-23,721.98,720.419,706.8893333333333
1992-11-24,726.97,720.9166666666666,707.3088888888889
1992-11-25,720.63,721.203,707.6553333333333
1992-11-26,721.47,721.467,708.0016666666667
1992-11-27,722.61,721.6743333333333,708.3453333333333
1992-11-28,725.45,722.0123333333333,708.7205555555556
1992-11-29,725.45,722.2816666666666,709.0957777777778
1992-11-30,725.45,722.5673333333333,709.4685555555556
1992-12-01,729.42,722.9853333333334,709.8744444444445
1992-12-02,725.75,723.2810000000001,710.2381111111112
1992-12-03,729.74,723.7096666666667,710.6172222222223
1992-12-04,738.19,724.35,711.0774444444445
1992-12-05,736.29,724.9193333333334,711.5165555555556
1992-12-06,736.29,725.4303333333335,711.9556666666666
1992-12-07,736.29,725.8876666666667,712.3845555555556
1992-12-08,732.11,726.2056666666666,712.7604444444445
1992-12-09,732.11,726.5236666666666,713.1685555555555
1992-12-10,732.4,726.921,713.5781111111111
1992-12-11,727.21,727.0823333333334,713.9205555555556
1992-12-12,729.8,727.285,714.2917777777777
1992-12-13,729.8,727.5210000000001,714.663
1992-12-14,729.8,727.712,715.0353333333334
1992-12-15,732.69,727.9993333333333,715.4336666666667
1992-12-16,736.2,728.4036666666667,715.8836666666666
1992-12-17,734.98,728.7673333333333,716.3094444444445
1992-12-18,732.54,728.8483333333332,716.7107777777778
1992-12-19,735.31,729.193,717.1428888888889
1992-12-20,735.31,729.5400000000001,717.575
1992-12-21,735.31,729.9843333333333,717.9766666666667
1992-12-22,736.82,730.4789999999999,718.4105555555556
1992-12-23,735.0,730.913,718.8172222222222
1992-12-24,735.19,731.187,719.2414444444445
1992-12-25,735.19,731.6723333333333,719.5791111111112
1992-12-26,735.19,732.1296666666668,719.9167777777778
1992-12-27,735.19,732.5490000000001,720.2544444444445
1992-12-28,735.19,732.8736666666666,720.6343333333334
1992-12-29,737.44,733.2733333333333,721.0191111111111
1992-12-30,737.98,733.691,721.4444444444445
1992-12-31,737.98,733.9763333333334,721.8322222222222
1993-01-01,737.98,734.384,722.1406666666667
1993-01-02,737.98,734.6586666666666,722.4491111111112
1993-01-03,737.98,734.6516666666666,722.7575555555555
1993-01-04,737.98,734.708,723.1293333333333
1993-01-05,737.55,734.75,723.5058888888889
1993-01-06,738.65,734.8286666666667,723.9052222222223
1993-01-07,740.08,735.0943333333333,724.3054444444444
1993-01-08,742.61,735.4443333333334,724.758
1993-01-09,746.63,735.9186666666666,725.2552222222222
1993-01-10,746.63,736.566,725.7524444444444
1993-01-11,746.63,737.1270000000001,726.2496666666667
1993-01-12,746.63,737.688,726.7402222222222
1993-01-13,749.63,738.349,727.2303333333334
1993-01-14,748.98,738.8919999999999,727.6833333333333
1993-01-15,746.71,739.2423333333334,728.1231111111111
1993-01-16,746.39,739.6226666666666,728.5593333333333
1993-01-17,746.39,740.0843333333335,728.9955555555556
1993-01-18,746.39,740.4536666666667,729.4293333333334
1993-01-19,747.2,740.85,729.8864444444445
1993-01-20,748.07,741.2753333333334,730.3181111111112
1993-01-21,750.06,741.7166666666668,730.7611111111111
1993-01-22,750.0,742.2166666666668,731.182888888889
1993-01-23,748.56,742.6623333333333,731.5886666666667
1993-01-24,748.56,743.1080000000001,731.9944444444444
1993-01-25,748.56,743.5536666666666,732.3834444444445
1993-01-26,747.25,743.9556666666666,732.7263333333334
1993-01-27,747.13,744.3536666666666,733.079888888889
1993-01-28,746.21,744.646,733.4003333333333
1993-01-29,745.14,744.8846666666667,733.7143333333332
1993-01-30,746.05,745.1536666666667,734.0384444444445
1993-01-31,746.05,745.4226666666667,734.3625555555556
1993-02-01,746.05,745.6916666666667,734.6866666666667
1993-02-02,745.27,745.9346666666667,734.9787777777777
1993-02-03,745.64,746.19,735.2724444444445
1993-02-04,745.73,746.4626666666666,735.5476666666666
1993-02-05,745.79,746.7006666666667,735.8056666666666
1993-02-06,746.56,746.9166666666666,736.0722222222222
1993-02-07,746.56,747.0483333333333,736.3387777777779
1993-02-08,746.56,747.046,736.6285555555556
1993-02-09,745.45,747.0066666666667,736.8850000000001
1993-02-10,745.49,746.9686666666665,737.1268888888891
1993-02-11,745.38,746.927,737.3786666666667
1993-02-12,748.22,746.88,737.6469999999999
1993-02-13,748.88,746.8766666666667,737.9226666666667
1993-02-14,748.88,746.949,738.1983333333334
1993-02-15,748.88,747.0319999999999,738.474
1993-02-16,748.18,747.0916666666667,738.6747777777779
1993-02-17,749.69,747.2016666666666,738.9494444444446
1993-02-18,750.75,747.3199999999999,739.2366666666667
1993-02-19,752.47,747.4666666666667,739.5754444444444
1993-02-20,751.96,747.53,739.9085555555556
1993-02-21,751.96,747.5953333333332,740.2416666666667
1993-02-22,751.96,747.7086666666668,740.5193333333334
1993-02-23,752.52,747.8406666666666,740.8736666666667
1993-02-24,753.33,747.9996666666667,741.2276666666668
1993-02-25,755.07,748.2603333333334,741.5883333333333
1993-02-26,759.2,748.6626666666667,741.9633333333333
1993-02-27,758.03,749.0566666666667,742.3253333333334
1993-02-28,758.03,749.4863333333332,742.6873333333333
1993-03-01,758.03,749.8856666666667,743.0052222222222
1993-03-02,757.89,750.2803333333334,743.3623333333334
1993-03-03,760.71,750.769,743.7064444444445
1993-03-04,762.68,751.3493333333333,743.9785555555557
1993-03-05,762.04,751.8960000000001,744.2646666666666
1993-03-06,762.2,752.445,744.5525555555555
1993-03-07,762.2,752.992,744.8404444444444
1993-03-08,762.2,753.5133333333332,745.1747777777778
1993-03-09,763.38,754.0740000000001,745.5222222222222
1993-03-10,763.9,754.652,745.8722222222223
1993-03-11,764.74,755.295,746.2892222222224
1993-03-12,765.19,755.9516666666667,746.6824444444444
1993-03-13,764.79,756.5986666666666,747.0712222222222
1993-03-14,764.79,757.151,747.4599999999999
1993-03-15,764.79,757.6813333333334,747.8166666666667
1993-03-16,764.29,758.195,748.1287777777777
1993-03-17,765.06,758.7343333333333,748.463
1993-03-18,766.12,759.3323333333333,748.8361111111111
1993-03-19,766.42,759.89,749.1817777777778
1993-03-20,766.84,760.4263333333333,749.5321111111111
1993-03-21,766.84,760.9053333333334,749.8824444444444
1993-03-22,766.84,761.4013333333334,750.2159999999999
1993-03-23,766.84,761.8973333333334,750.5697777777777
1993-03-24,766.63,762.3863333333333,750.9191111111111
1993-03-25,766.91,762.8660000000001,751.2715555555556
1993-03-26,767.99,763.3546666666666,751.6360000000001
1993-03-27,767.4,763.7656666666667,751.9938888888888
1993-03-28,767.4,764.039,752.3517777777778
1993-03-29,767.4,764.3513333333334,752.6846666666667
1993-03-30,766.79,764.6433333333334,753.0047777777777
1993-03-31,766.41,764.9226666666667,753.3206666666666
1993-04-01,766.44,765.2076666666667,753.6368888888888
1993-04-02,767.98,765.45,753.9702222222221
1993-04-03,768.46,765.6426666666666,754.3088888888889
1993-04-04,768.46,765.8566666666667,754.6475555555555
1993-04-05,768.46,766.0653333333333,754.991
1993-04-06,768.31,766.2690000000001,755.3205555555554
1993-04-07,768.52,766.4796666666666,755.6365555555557
1993-04-08,768.6,766.6536666666667,755.9253333333334
1993-04-09,768.6,766.8103333333332,756.1694444444445
1993-04-10,768.6,766.9390000000001,756.4135555555556
1993-04-11,768.6,767.0526666666666,756.6576666666667
1993-04-12,768.6,767.1796666666667,756.9017777777779
1993-04-13,769.34,767.3313333333333,757.1207777777777
1993-04-14,769.8,767.4983333333333,757.3521111111112
1993-04-15,771.56,767.7406666666666,757.6282222222221
1993-04-16,772.71,767.9956666666666,757.9206666666666
1993-04-17,773.22,768.2323333333334,758.2187777777779
1993-04-18,773.22,768.4590000000001,758.5168888888887
1993-04-19,773.22,768.6716666666667,758.8059999999999
1993-04-20,773.7,768.9003333333333,759.0907777777779
1993-04-21,773.97,769.138,759.3564444444445
1993-04-22,774.34,769.388,759.6268888888889
1993-04-23,775.05,769.6686666666667,759.9212222222222
1993-04-24,775.32,769.949,760.2185555555556
1993-04-25,775.32,770.1933333333333,760.515888888889
1993-04-26,775.32,770.4573333333333,760.8277777777778
1993-04-27,775.2,770.7173333333334,761.1396666666666
1993-04-28,774.52,770.9546666666666,761.4542222222223
1993-04-29,773.78,771.1876666666666,761.7724444444445
1993-04-30,774.94,771.472,762.0934444444445
1993-05-01,773.82,771.7180000000001,762.4019999999999
1993-05-02,773.82,771.9126666666667,762.7105555555555
1993-05-03,773.82,772.0913333333334,763.0277777777779
1993-05-04,775.53,772.3269999999999,763.3598888888889
1993-05-05,776.99,772.6113333333334,763.7072222222222
1993-05-06,777.88,772.9303333333334,764.0637777777779
1993-05-07,778.17,773.2520000000001,764.4150000000001
1993-05-08,777.17,773.5376666666667,764.755111111111
1993-05-09,777.17,773.8233333333334,765.0952222222221
1993-05-10,777.17,774.109,765.4476666666666
1993-05-11,777.75,774.4140000000001,765.806111111111
1993-05-12,779.41,774.7743333333334,766.1842222222223
1993-05-13,780.49,775.1460000000001,766.5427777777778
1993-05-14,780.8,775.5126666666666,766.8974444444445
1993-05-15,780.79,775.8203333333333,767.252
1993-05-16,780.79,776.0896666666667,767.6065555555555
1993-05-17,780.79,776.3420000000001,767.9688888888888
1993-05-18,781.42,776.6153333333333,768.3214444444444
1993-05-19,781.8,776.9013333333332,768.6664444444444
1993-05-20,781.84,777.1726666666667,768.9927777777779
1993-05-21,781.94,777.4383333333334,769.3258888888889
1993-05-22,782.0,777.6936666666667,769.6596666666666
1993-05-23,782.0,777.9253333333334,769.9934444444444
1993-05-24,782.0,778.148,770.321
1993-05-25,782.0,778.3706666666668,770.6395555555555
1993-05-26,783.15,778.6316666666667,770.9515555555555
1993-05-27,782.85,778.8866666666668,771.2143333333335
1993-05-28,780.78,779.0953333333333,771.4671111111111
1993-05-29,779.56,779.2880000000001,771.7063333333333
1993-05-30,779.56,779.4419999999999,771.9455555555554
1993-05-31,779.56,779.6333333333333,772.1863333333332
1993-06-01,779.0,779.806,772.3895555555555
1993-06-02,779.01,779.9789999999999,772.571
1993-06-03,777.82,780.0553333333334,772.7463333333333
1993-06-04,778.12,780.0930000000001,772.9232222222223
1993-06-05,780.6,780.1836666666666,773.1276666666665
1993-06-06,780.6,780.2646666666666,773.3321111111111
1993-06-07,780.6,780.379,773.5234444444444
1993-06-08,782.29,780.5496666666667,773.7277777777778
1993-06-09,784.62,780.798,773.9486666666666
1993-06-10,784.95,781.038,774.1682222222222
1993-06-11,785.79,781.2506666666666,774.4015555555555
1993-06-12,784.8,781.3943333333334,774.623888888889
1993-06-13,784.8,781.5276666666667,774.8462222222221
1993-06-14,784.8,781.6613333333333,775.074111111111
1993-06-15,784.8,781.795,775.2934444444445
1993-06-16,785.9,781.9653333333333,775.5132222222221
1993-06-17,786.64,782.1393333333333,775.7378888888887
1993-06-18,787.49,782.3290000000001,775.9673333333333
1993-06-19,786.77,782.4933333333333,776.1887777777779
1993-06-20,786.77,782.6543333333333,776.4102222222224
